string,prefix,word,sep,pos,year,rel_freq
superfins,super,fins,FUSION,Adj_Nom,1805,0.12078008197033585
supersaturation,super,saturation,FUSION,Nom,1805,0.008627148712166847
superville,super,ville,FUSION,Nom,1805,0.0172542974243337
supervivant,super,vivant,FUSION,Vrb_Nom_Adj,1805,0.0172542974243337
extra - fines,extra,fines,TIRET,Adj_Nom,1805,0.03450859484866739
hyperorganiques,hyper,organiques,FUSION,Adj,1806,0.010218880135203142
superfin,super,fin,FUSION,Adj_Nom_Adv,1806,0.2554720033800786
superfines,super,fines,FUSION,Adj_Nom,1806,0.13284544175764085
superfins,super,fins,FUSION,Adj_Nom,1806,0.2759097636504848
superfluide,super,fluide,FUSION,Adj_Nom,1806,0.010218880135203142
supersaturation,super,saturation,FUSION,Nom,1806,0.07153216094642198
ultra fines,ultra,fines,ESPACE,Adj_Nom,1806,0.030656640405609423
ultra très,ultra,très,ESPACE,Adv,1806,0.020437760270406283
hyper - organique,hyper,organique,TIRET,Adj,1806,0.010218880135203142
archigrand,archi,grand,FUSION,Adj_Nom_Adv,1807,0.017628827349531986
superfin,super,fin,FUSION,Adj_Nom_Adv,1807,0.1586594461457879
superfines,super,fines,FUSION,Adj_Nom,1807,0.6258233709083856
superfins,super,fins,FUSION,Adj_Nom,1807,0.2732468239177458
superville,super,ville,FUSION,Nom,1807,0.11458737777195792
super très,super,très,ESPACE,Adv,1807,0.017628827349531986
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1807,0.008814413674765993
archicon,archi,con,FUSION,Adj_Nom,1808,0.0070004894882259965
hyperphysique,hyper,physique,FUSION,Adj_Nom,1808,0.0070004894882259965
superfin,super,fin,FUSION,Adj_Nom_Adv,1808,0.3220225164583958
superfines,super,fines,FUSION,Adj_Nom,1808,0.2030141951585539
superfins,super,fins,FUSION,Adj_Nom,1808,0.18901321618210187
supersaturation,super,saturation,FUSION,Nom,1808,0.07700538437048594
superville,super,ville,FUSION,Nom,1808,0.02100146846467799
ultrapatriotes,ultra,patriotes,FUSION,Adj_Nom,1808,0.014000978976451993
ultra fines,ultra,fines,ESPACE,Adj_Nom,1808,0.028001957952903986
