string,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
hyper 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,1,2,0,0,1,0,0,0,2,3,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,3,0,0,0,2,0,0,0,1,0,0,2,1,2,0,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,4,1,1,0,2,2,0,1
hyper 1_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,2,0,0,1,0,0,0,2,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0,2,0,1,0,2,2,0,1
hyper Fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,0,0,2,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,2,4,0,0,1,0,0,1,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
hyper Fig_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
hyper _ADJ_,0,1,2,1,2,0,0,1,0,1,3,3,0,0,0,0,1,1,1,2,1,1,4,2,1,0,4,0,1,4,4,0,2,6,1,0,4,5,5,1,6,7,0,9,1,11,15,7,3,32,3,12,9,2,10,1,10,17,4,29,11,10,4,7,13,10,11,23,16,13,16,7,25,13,14,11,14,18,16,6,13,17,19,11,37,19,7,22,17,27,13,14,20,22,20,21,23,28,23,26,38,50,32,21,28,34,51,26,31,13,36,11,22,23,17,7,7,13,18,13,35,41,22,31,29,35,31,37,18,21,30,21,25,30,40,29,31,31,35,38,4,10,17,30,19,22,30,63,32,25,23,18,21,25,33,31,44,12,43,33,46,64,49,33,38,54,44,45,52,39,36,46,51,36,38,48,48,59,27,53,41,58,46,62,85,51,68,74,133,77,85,100,59,97,103,95,118,149,172,206,230,336,304,385,355,426,513,538,585,405
hyper _ADP_,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,0,7,0,1,0,0,0,1,0,1,0,3,1,0,3,1,2,0,1,4,4,3,0,0,3,0,1,0,0,4,3,2,2,1,0,3,2,1,3,3,6,1,0,2,0,1,3,4,1,4,7,1,4,1,9,6,1,6,4,3,6,3,8,2,3,3,0,3,4,2,0,3,4,3,5,6,1,4,1,3,1,4,3,5,7,2,3,1,2,6,4,8,8,7,2,1,3,5,1,10,6,10,4,7,5,3,21,11,2,2,3,5,7,4,5,12,8,3,14,6,7,3,4,3,4,4,7,7,8,5,9,12,11,11,4,4,9,11,16,11,9,3,4,6,47,7,22,10,37,15,6,15,17,11,16,51,10,38,24,17,34,28,22,19
hyper _ADV_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,1,0,1,0,1,0,0,2,0,0,1,0,1,1,2,1,0,2,0,2,1,1,0,4,0,1,5,0,1,0,0,2,0,1,0,0,1,5,1,3,5,3,1,3,2,0,4,3,1,3,3,2,0,1,0,0,5,5,1,2,3,1,3,2,1,2,4,2,7,1,2,2,2,4,5,3,4,3,11,5,7,8,6,1,8,3,10,2,3,2,2,0,0,5,3,4,3,9,7,5,7,7,3,4,6,4,4,5,7,12,3,11,6,4,0,1,1,3,1,3,2,5,5,9,3,1,3,2,5,1,2,4,0,4,5,10,4,1,7,4,5,13,1,4,1,6,7,4,6,7,3,3,3,5,2,5,5,2,7,5,6,7,3,2,1,12,13,10,10,11,19,10,18,27,11,19,23,33,28,36,39,40,41,27
hyper _CONJ_,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,7,1,0,0,0,0,0,0,1,1,0,2,3,8,2,1,5,0,21,0,1,1,3,7,2,1,3,1,0,1,1,3,1,1,1,1,1,5,7,1,4,2,0,1,2,1,3,0,1,1,0,4,1,0,3,5,7,11,0,1,3,16,5,6,6,8,12,13,15,30,10,44,36,26,47,55,50,52,27,45,13,27,32,37,39,14,18,12,10,10,28,48,59,32,77,36,67,53,50,49,54,61,30,55,48,56,36,72,53,49,35,10,14,11,13,7,8,13,32,32,59,45,16,34,20,26,34,24,24,31,49,32,41,41,52,39,35,47,54,51,33,34,31,30,39,56,21,41,34,38,49,33,15,25,17,39,35,21,22,33,68,33,45,42,38,27,18,40,47,45,54,41,49,85,39,52,72,67,88,68,58
hyper _DET_,0,2,0,0,2,2,1,0,0,1,4,5,3,5,0,0,2,1,2,3,1,6,5,0,3,1,3,13,7,1,0,1,1,7,2,1,2,13,2,3,2,9,0,5,1,8,4,7,2,1,4,5,7,9,5,5,6,11,5,8,4,4,9,2,2,6,11,3,8,10,6,0,5,4,6,6,9,4,9,9,7,8,8,5,6,8,6,5,5,1,6,9,10,8,10,7,9,13,4,18,19,24,12,15,13,15,21,7,11,7,11,12,12,10,8,3,6,2,4,2,10,8,9,8,3,8,8,12,11,10,15,8,13,5,11,6,21,13,20,4,3,4,3,3,1,6,9,8,13,17,10,6,9,5,19,9,13,11,13,9,27,18,16,10,12,14,16,17,15,17,13,17,13,32,9,28,8,15,21,16,2,3,13,19,12,9,11,13,15,14,12,9,15,16,6,8,14,18,23,25,17,18,33,30,32,34,53,40,28,20
hyper _END_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,3,2,0,0,1,3,2,0,1
