string,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
hyper - _ADJ_,0,0,6,2,0,0,1,1,0,0,6,1,4,1,4,0,0,13,3,17,3,9,10,2,9,23,25,0,0,4,6,0,23,3,7,0,1,2,1,51,7,98,3,4,12,11,30,1,13,47,2,0,3,8,2,0,2,2,7,53,1,23,0,1,3,2,63,0,6,4,7,3,2,0,1,2,4,3,0,3,4,1,2,1,4,6,3,13,10,2,7,5,0,5,15,5,17,13,6,8,10,11,36,8,18,34,15,14,11,9,9,12,12,22,10,2,2,7,3,7,12,11,18,11,10,28,20,21,21,12,18,14,25,21,21,22,31,44,19,27,9,7,11,10,13,18,40,40,39,55,49,28,40,47,41,51,58,47,96,47,159,110,122,145,71,133,127,146,218,128,165,147,142,174,144,172,144,198,171,178,244,253,253,230,308,278,280,332,293,278,317,325,305,352,314,306,375,463,298,329,487,476,464,513,428,449,520,517,429,309
hyper - _ADV_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,1,0,0,0,0,0,0,1,2,0,4,3,1,2,4,5,1,3,4,0,1,3,5,1,1,2,6,1,0,4,2,6,3,0
hyper - _CONJ_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,5,9,4,2,3,14,5,4,9,22,13,7,10,12,5,8,11,3,12,8,3,1,0,1,2,9,5,13,9,9,12,27,14,13,34,38,12,22,19,22,47,33,38,13,29,10,2,9,9,2,1,16,17,6,15,19,15,19,12,18,26,21,19,10,18,14,14,24,20,28,43,14,45,38,26,14,13,12,12,27,3,7,10,15,9,8,3,13,12,4,4,15,9,11,13,11,13,11,11,10,19,13,15,26,26,27,28,26,60,37,37,55,61,27,40
hyper - _DET_,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,6,0,1,4,0,2,0,0,0,0,0,2,1,1,1,0,2,0,3,1,2,5,1,1,0
hyper - _END_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,2,1,0,0,2,2,6,1,0,0,0,0,0,0,0,2,1,0,1,0,2,0,2,1,1,3,3,2,2,3,1,0,1,4,2,0,0,3,3
hyper - _NOUN_,8,0,5,19,5,1,2,1,3,0,20,30,0,18,1,5,4,23,6,31,9,31,1,21,18,62,64,3,0,10,6,2,29,13,25,2,2,25,24,159,84,126,1,27,12,8,20,8,19,108,3,3,7,12,11,12,6,13,20,5,25,8,2,6,8,4,15,10,13,10,3,0,2,5,23,8,6,9,4,18,4,7,8,18,123,12,10,10,8,40,29,29,10,56,24,13,42,36,26,19,45,48,82,49,63,33,35,31,41,33,14,47,47,56,36,16,17,17,19,24,83,116,55,100,65,62,89,69,119,122,100,108,89,100,189,146,155,175,144,126,45,33,42,46,33,29,118,105,115,112,139,136,233,212,197,178,232,188,262,233,416,431,356,370,236,381,377,472,490,413,432,429,432,451,459,493,520,587,470,421,449,444,537,413,532,659,499,652,641,693,667,784,776,768,708,730,775,873,928,910,1090,1301,1225,1462,1126,1273,1265,1313,1330,875
hyper - _PRON_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,5,0,0,0,2,1,4,0,0,0,4,11,0,2,1,1,0,0,1,0,1,1,0,1,1,1,2,0,2,2,5,6,7,2,0,1,5,0,0,1,0,0,0,0,0,0,1,3,1,1,2,0,0,1,1,5,2,0,1,13,2,2,3,0
hyper - _PRT_,0,0,0,0,2,1,0,0,0,0,1,3,3,5,1,1,46,6,1,8,2,6,0,2,10,13,93,1,0,0,2,1,17,3,5,1,0,2,2,12,8,16,0,9,0,0,10,4,1,2,0,0,3,0,0,0,0,1,3,0,2,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,1,1,6,0,34,1,7,6,2,4,1,6,0,0,0,0,9,2,8,6,0,5,1,2,0,0,3,2,14,42,4,4,5,11,5,6,10,5,8,4,9,2,7,8,4,13,4,3,1,1,0,2,1,2,8,2,2,6,3,8,7,26,24,14,18,11,46,20,20,9,44,17,24,17,28,34,41,19,23,29,23,25,29,28,16,25,26,26,28,25,37,15,23,22,12,22,25,24,24,23,31,36,25,40,37,25,28,46,63,41,43,47,52,62,64,48,52,48
hyper - _VERB_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,1,0,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,3,3,0,2,1,0,0,0,1,4,1,4,6,9,6,5,3,5,10,7,0,0,1,2,1,1,3,10,1,11,4,5,7,8,6,5,8,3,8,11,12,6,11,7,7,18,18,22,25,14,21,22,30,26,18,24,32,27,36,28,33,40,48,40,34,61,46,120,37,52,45,69,49,63,48,56,45,45,79,67,79,78,75,87,65,72,104,87,81,55
hyper - _X_,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,3,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,1,1,4,2,2,1,1,1,3,2,4,0,0,0,0,0,1,2,3,5,5,2,0,2,6,2,8,13,1,12,2,2,15,5,4,8,8,8,4,16,6,11,8,11,5,15,9,20,5,9,5,4,13,9,10,13,7,18,18,4,14,12,4,20,14,9,10,21,12,19,23,27,20,16,31,30,27,14,26,13
