string,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
archi 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,1,0,1,0,5,0,1,0,2,2,0,0,0,3,2,1,0,0,0,0,2,11,1,9,5,4,5,2,2,8,1,3,1,0,1,8,0,5,1,0,4,1,0,4,2,3,0,3,2,1,1,1,3,0,1,0,1,4,2,0,2,0,2,4,3,3,4,2,1,0,1,2,0,1,6,0,2,3,2,4,0,0,0,0,1,1,3,2,2,4,2,0,1,0,3,2,2,0,0,2,1,2,2,2,1,2,0,1,0,0,1,0,0,0,2,2,0,1,0,1,0,0,4,0,1,1,3,4,8,2,1,5,0,6,4,3,6,0,1,2,2,1,3,0,0,0,0,0,2,1,0,0,4,0,0,0,2,4,3,3,3,6,5,2,6,3,8,3,2,0,3,2,1
archi 1_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,2,2,0,0,0,2,2,0,0,0,0,0,2,10,1,9,3,4,5,2,2,7,1,3,1,0,1,8,0,3,1,0,3,0,0,4,2,3,0,3,2,1,1,1,3,0,1,0,1,4,1,0,2,0,2,4,3,3,4,2,1,0,1,2,0,1,5,0,2,3,2,4,0,0,0,0,0,1,3,2,2,4,2,0,0,0,3,1,2,0,0,1,1,1,1,2,1,0,0,1,0,0,1,0,0,0,2,2,0,1,0,1,0,0,4,0,0,1,3,4,7,2,1,5,0,5,4,3,4,0,1,1,2,1,3,0,0,0,0,0,2,1,0,0,4,0,0,0,2,4,3,3,2,6,5,2,6,2,3,2,2,0,3,2,1
archi Fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
archi Le,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,3,0,0,0,1,0,0,1,1,1,1,0,0,0,4,0,1,8,0,5,0,0,0,0,0,2,3,2,2,0,2,0,1,5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0,0,3,1,0,0,1,1,1,0,1,0,0
archi Le_DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,3,0,0,0,1,0,0,1,1,1,1,0,0,0,4,0,1,8,0,5,0,0,0,0,0,2,3,2,2,0,2,0,1,5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,3,0,0,3,1,0,0,1,1,1,0,1,0,0
archi _ADJ_,1,4,5,9,7,1,4,4,1,8,3,8,2,1,2,3,2,6,5,9,2,19,20,17,15,15,6,7,10,23,23,9,6,13,11,11,15,15,19,15,23,30,19,23,22,33,32,25,19,43,53,28,24,27,17,14,33,14,44,22,42,38,33,42,46,37,46,25,29,46,17,19,48,21,27,22,19,19,16,12,21,21,26,24,27,34,29,19,34,25,24,35,33,31,46,47,47,37,37,26,45,40,46,34,59,34,57,54,61,45,23,26,30,40,43,17,45,36,20,24,33,23,31,35,32,46,31,33,43,34,44,36,39,50,36,37,24,35,30,32,17,21,19,10,13,20,29,30,22,25,26,23,28,39,29,22,51,34,29,30,39,59,41,53,49,73,58,76,110,74,80,85,95,66,77,83,82,72,90,92,72,77,79,63,129,94,103,96,101,117,124,117,102,110,102,90,141,105,111,160,148,149,171,207,134,153,174,158,175,132
archi _ADP_,1,0,2,0,0,0,2,0,1,0,5,3,1,0,0,1,0,1,1,1,0,4,15,0,4,0,2,4,1,3,11,1,1,0,3,2,1,0,3,4,11,0,0,0,1,2,2,3,2,2,0,3,2,2,2,1,2,0,1,0,2,0,2,2,1,4,1,1,2,1,1,0,4,2,0,3,0,1,2,0,1,2,11,0,2,1,4,2,2,5,0,8,7,1,4,2,0,2,2,0,1,2,2,2,5,4,2,2,3,1,1,1,1,0,6,1,0,1,0,0,0,3,1,1,0,0,1,1,1,1,2,0,1,1,2,1,2,1,1,0,1,0,1,0,0,0,1,3,0,0,2,0,1,2,3,2,1,2,2,1,1,1,4,1,4,2,5,3,6,5,2,2,7,0,7,5,7,1,8,2,0,1,2,7,6,7,4,2,4,2,1,1,4,2,2,1,4,1,4,9,6,6,5,13,18,4,12,5,5,13
archi _ADV_,0,0,0,1,2,2,0,0,0,1,0,1,0,0,0,1,2,2,1,3,0,0,0,0,1,9,0,2,0,3,2,2,0,4,0,2,4,1,4,0,0,3,3,5,4,4,5,4,3,6,0,4,0,3,1,2,0,3,1,2,2,9,3,3,6,3,2,2,2,9,2,2,7,1,6,1,3,2,1,9,2,5,5,4,0,2,0,3,3,2,4,2,2,3,2,2,5,2,4,2,4,5,8,7,10,3,2,3,6,1,1,2,1,0,0,6,0,1,2,1,0,5,3,2,3,3,0,0,2,4,1,1,4,1,3,0,1,0,0,4,3,0,2,0,0,0,0,3,2,0,2,2,2,0,5,0,2,1,2,4,1,4,2,6,3,9,2,2,2,4,3,7,4,2,3,3,3,5,1,3,3,7,9,0,9,13,2,4,3,4,3,6,4,4,5,4,5,3,6,4,9,5,13,7,8,8,8,11,15,6
archi _CONJ_,0,1,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,2,13,0,2,0,1,1,1,2,0,0,0,0,3,1,0,5,1,1,0,4,1,0,2,0,2,0,0,1,1,3,2,0,0,1,2,0,1,1,2,0,0,8,0,8,1,3,1,2,0,0,1,1,0,4,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,3,0,0,0,3,0,0,0,2,1,4,1,1,2,3,2,1,0,0,0,2,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,2,11,2,2,0,0,6,4,0,2,1,0,0,1,2,4,1,2,0,5,1,0,3,1,5,0,4,0,2,2,1,0,1,0,0,1,2,3,1,1,0,9,2,2,5,2,0,3,5,10,1,3,3,2,1,1
archi _DET_,4,3,8,13,8,6,19,7,12,6,7,17,7,2,6,15,2,6,12,19,13,18,29,10,16,17,18,35,27,26,31,12,13,24,25,36,19,33,21,25,21,46,15,24,24,17,9,22,6,34,38,30,19,52,29,13,43,14,27,30,38,20,31,22,34,7,44,79,30,14,12,7,21,21,21,22,14,36,21,20,33,5,10,16,5,22,11,9,23,17,24,24,27,17,20,17,13,17,21,12,20,29,31,15,13,22,21,14,19,10,10,19,5,13,18,10,3,4,15,2,5,8,3,8,9,8,8,6,12,10,9,8,11,6,7,10,5,3,10,7,6,3,7,5,2,3,6,7,5,14,7,14,6,3,14,7,3,4,5,4,6,7,7,8,7,15,4,7,16,23,20,13,18,10,11,16,16,17,12,22,19,9,12,8,14,13,17,12,16,14,21,7,17,15,22,22,34,18,15,18,22,7,19,34,17,19,18,16,14,8
